"ID"	"symbol"
"Xe_000001"	"Xe_000001"
"Xe_000002"	"Xe_000002"
"Xe_000003"	"Xe_000003"
"Xe_000004"	"Xe_000004"
"Xe_000005"	"Xe_000005"
"Xe_000006"	"Xe_000006"
"Xe_000007"	"Xe_000007"
"Xe_000008"	"Xe_000008"
"Xe_000009"	"Xe_000009"
"Xe_000010"	"Xe_000010"
"Xe_000011"	"Xe_000011"
"Xe_000012"	"SLC1A1_1"
"Xe_000013"	"Xe_000013"
"Xe_000014"	"Xe_000014"
"Xe_000015"	"Xe_000015"
"Xe_028798"	"Reverse transcriptase (RNA-dependent DNA polymerase)_54"
"Xe_000016"	"Xe_000016"
"Xe_000017"	"Xe_000017"
"Xe_000018"	"Xe_000018"
"Xe_000019"	"Xe_000019"
"Xe_000020"	"Xe_000020"
"Xe_000021"	"Xe_000021"
"Xe_000022"	"Xe_000022"
"Xe_000023"	"Xe_000023"
"Xe_000024"	"Xe_000024"
"Xe_000025"	"Xe_000025"
"Xe_000026"	"Xe_000026"
"Xe_000027"	"Xe_000027"
"Xe_000028"	"EIF2S1_1"
"Xe_000029"	"Xe_000029"
"Xe_000030"	"Xe_000030"
"Xe_000031"	"Xe_000031"
"Xe_000032"	"Xe_000032"
"Xe_000033"	"Xe_000033"
"Xe_000034"	"Xe_000034"
"Xe_000035"	"Xe_000035"
"Xe_000036"	"Xe_000036"
"Xe_000037"	"RGS22_1"
"Xe_000038"	"Xe_000038"
"Xe_000039"	"Xe_000039"
"Xe_000040"	"Xe_000040"
"Xe_000041"	"Xe_000041"
"Xe_000042"	"Xe_000042"
"Xe_000043"	"Xe_000043"
"Xe_000044"	"Xe_000044"
"Xe_000045"	"Xe_000045"
"Xe_000046"	"Xe_000046"
"Xe_000047"	"Xe_000047L"
"Xe_000048"	"Sodium:dicarboxylate symporter family"
"Xe_000049"	"RRM2_1"
"Xe_000050"	"Xe_000050"
"Xe_000051"	"Xe_000051"
"Xe_000052"	"SLC1A6"
"Xe_000053"	"Xe_000053"
"Xe_000054"	"Xe_000054"
"Xe_000055"	"Xe_000055"
"Xe_000056"	"Xe_000056"
"Xe_000057"	"Xe_000057"
"Xe_000058"	"Xe_000058"
"Xe_000059"	"Xe_000059"
"Xe_000060"	"Xe_000060"
"Xe_000061"	"Xe_000061"
"Xe_000062"	"Xe_000062"
"Xe_000063"	"Xe_000063"
"Xe_000064"	"Xe_000064"
"Xe_000065"	"Xe_000065"
"Xe_000066"	"Xe_000066"
"Xe_000067"	"Xe_000067"
"Xe_000068"	"Xe_000068"
"Xe_000069"	"Xe_000069"
"Xe_000070"	"Xe_000070"
"Xe_000071"	"Xe_000071"
"Xe_000072"	"Xe_000072"
"Xe_000073"	"SLC1A1_2"
"Xe_000074"	"Xe_000074"
"Xe_000075"	"Xe_000075"
"Xe_000076"	"Xe_000076"
"Xe_000077"	"Xe_000077L"
"Xe_000078"	"Eukaryotic translation initiation factor 2 alpha subunit_1"
"Xe_000079"	"Xe_000079"
"Xe_000080"	"Xe_000080"
"Xe_000081"	"Xe_000081"
"Xe_000082"	"Xe_000082"
"Xe_000083"	"Xe_000083"
"Xe_000084"	"SLC1A1_3"
"Xe_000085"	"Xe_000085"
"Xe_000086"	"Xe_000086"
"Xe_000087"	"Xe_000087"
"Xe_000088"	"Xe_000088"
"Xe_000089"	"Xe_000089"
"Xe_000090"	"Xe_000090"
"Xe_000091"	"Xe_000091"
"Xe_000092"	"Xe_000092"
"Xe_000093"	"Xe_000093"
"Xe_000094"	"Xe_000094"
"Xe_000095"	"Xe_000095"
"Xe_000096"	"Xe_000096"
"Xe_000097"	"Xe_000097"
"Xe_000098"	"Eukaryotic translation initiation factor 2 alpha subunit_2"
"Xe_000099"	"Xe_000099"
"Xe_000100"	"Xe_000100"
"Xe_000101"	"Xe_000101"
"Xe_000102"	"Xe_000102"
"Xe_000103"	"Xe_000103"
"Xe_000104"	"Xe_000104"
"Xe_000105"	"Xe_000105"
"Xe_000106"	"Xe_000106"
"Xe_000107"	"Xe_000107"
"Xe_000108"	"Xe_000108"
"Xe_000110"	"Xe_000110"
"Xe_000109"	"Xe_000109"
"Xe_000111"	"Xe_000111"
"Xe_000112"	"Xe_000112"
"Xe_000113"	"Xe_000113"
"Xe_000114"	"Xe_000114"
"Xe_000115"	"Xe_000115"
"Xe_000116"	"Xe_000116"
"Xe_000117"	"Xe_000117"
"Xe_000118"	"Xe_000118"
"Xe_000119"	"Xe_000119"
"Xe_000120"	"Xe_000120"
"Xe_000121"	"Xe_000121"
"Xe_000122"	"Xe_000122"
"Xe_000123"	"Xe_000123"
"Xe_000124"	"Xe_000124"
"Xe_000125"	"RNRS"
"Xe_000127"	"Xe_000127"
"Xe_000128"	"Xe_000128"
"Xe_000129"	"Xe_000129"
"Xe_000130"	"Xe_000130"
"Xe_000131"	"EIF2S1_2"
"Xe_000132"	"Xe_000132"
"Xe_000133"	"Xe_000133"
"Xe_000134"	"EIF2S1_3"
"Xe_000135"	"Xe_000135"
"Xe_000136"	"Xe_000136"
"Xe_000137"	"Xe_000137"
"Xe_000138"	"Xe_000138"
"Xe_000139"	"SLC1A1_4"
"Xe_000140"	"Xe_000140"
"Xe_000141"	"Xe_000141"
"Xe_000142"	"Xe_000142"
"Xe_000143"	"Xe_000143"
"Xe_000144"	"EIF2S1_4"
"Xe_000145"	"NOMPC_1"
"Xe_000146"	"Xe_000146"
"Xe_000147"	"Xe_000147"
"Xe_000148"	"Xe_000148"
"Xe_000149"	"Xe_000149"
"Xe_000150"	"Xe_000150"
"Xe_000151"	"Xe_000151"
"Xe_000152"	"Xe_000152"
"Xe_000153"	"Xe_000153"
"Xe_000154"	"Xe_000154"
"Xe_000155"	"Xe_000155"
"Xe_000156"	"Xe_000156"
"Xe_000157"	"Xe_000157"
"Xe_000158"	"Xe_000158"
"Xe_000159"	"Xe_000159"
"Xe_028799"	"Xe_028799"
"Xe_000160"	"Xe_000160"
"Xe_000161"	"Xe_000161"
"Xe_000162"	"MADF_1"
"Xe_000163"	"Xe_000163"
"Xe_000164"	"Xe_000164"
"Xe_000165"	"EIF2S1_5"
"Xe_000166"	"Xe_000166"
"Xe_000167"	"Xe_000167"
"Xe_000168"	"Xe_000168"
"Xe_000169"	"Xe_000169"
"Xe_000170"	"Xe_000170"
"Xe_000171"	"Xe_000171"
"Xe_000172"	"Xe_000172"
"Xe_000173"	"SLC1A2_1"
"Xe_000174"	"PPP1R42"
"Xe_000175"	"SLC35B3"
"Xe_000176"	"Xe_000176"
"Xe_000177"	"NADH ubiquinone oxidoreductase 11.5kD subunit"
"Xe_000178"	"RRM2_2"
"Xe_000179"	"ABHD6"
"Xe_000180"	"ENOSF1"
"Xe_000182"	"UBE2WA"
"Xe_000181"	"SRRD"
"Xe_000183"	"ISG20L2"
"Xe_000184"	"Xe_000184"
"Xe_000185"	"SYNtaxin"
"Xe_000186"	"Xe_000186"
"Xe_000187"	"CSDE1_1"
"Xe_000188"	"Xe_000188"
"Xe_000189"	"PTPRF_1"
"Xe_000190"	"to nematocyst outer wall antigen Hydra magnipapillata"
"Xe_000191"	"Alcohol dehydrogenase transcription factor Myb/SANT-like_1"
"Xe_000192"	"PXDN_1"
"Xe_000193"	"PXDN_2"
"Xe_000194"	"TTN_1"
"Xe_000195"	"Xe_000195"
"Xe_000196"	"Xe_000196"
"Xe_000197"	"TOLL-like receptor"
